# RRS market data, imported from Realtor.com Inventory Core Metrics (by ZIP).
# Figures are median LISTING (asking) prices and active-listing metrics.
# Each city aggregates every ZIP assigned to it (see scripts/import-rdc.mjs).
# Medians across ZIPs are weighted by active listing count. zips is space separated.
# Columns: slug,medianPrice,pricePerSqft,daysOnMarket,activeListings,priceYoY,zips,updated
# To refresh: download a new RDC file and run: node scripts/import-rdc.mjs <path>
slug,medianPrice,pricePerSqft,daysOnMarket,activeListings,priceYoY,zips,updated
milwaukee,249950,188,35,1068,-0.0030,53218 53202 53207 53216 53212 53219 53222 53206 53210 53221 53223 53208 53225 53224 53226 53215 53227 53204 53205 53228 53203 53233,2026-05
wauwatosa,399900,249,26,38,-0.0807,53213,2026-05
west-allis,269900,217,24,32,0.0605,53214,2026-05
greenfield,317450,219,24,33,0.1087,53220,2026-05
oak-creek,424900,243,28,57,-0.0409,53154,2026-05
franklin,507450,217,24,68,0.1277,53132,2026-05
shorewood,564000,249,29,35,0.0273,53211,2026-05
whitefish-bay,682000,273,26,78,0.1579,53217,2026-05
glendale,169450,141,34,115,0.0463,53209,2026-05
hales-corners,570000,231,24,4,0.5619,53130,2026-05
cudahy,284900,230,27,24,-0.0342,53110,2026-05
south-milwaukee,302450,221,22,18,0.0256,53172,2026-05
waukesha,499950,242,30,184,0.1021,53188 53189 53186,2026-05
brookfield,584900,237,29,112,-0.0660,53045 53005,2026-05
new-berlin,475000,225,23,58,0.1315,53151 53146,2026-05
menomonee-falls,554900,244,36,119,-0.0348,53051,2026-05
pewaukee,703900,267,45,83,0.1531,53072,2026-05
muskego,535900,254,25,42,-0.1052,53150,2026-05
delafield,949999,310,31,20,0.1883,53018,2026-05
hartland,675000,259,31,47,-0.1346,53029,2026-05
elm-grove,781950,262,23,22,0.0712,53122,2026-05
mukwonago,509900,262,35,68,0.0408,53149,2026-05
mequon,687250,241,29,61,0.1415,53092 53097,2026-05
cedarburg,649900,267,37,29,0.2450,53012,2026-05
grafton,659990,270,37,56,0.0330,53024,2026-05
port-washington,565000,278,44,36,0.1415,53074,2026-05
saukville,459000,209,28,13,0.1130,53080,2026-05
west-bend,409900,207,31,122,0.0615,53090 53095,2026-05
germantown,449900,228,29,45,-0.1000,53022,2026-05
hartford,477400,236,38,62,0.2403,53027,2026-05
jackson,419857,251,39,58,-0.0456,53037,2026-05
slinger,574000,242,33,46,0.0476,53086,2026-05
racine,250000,184,26,157,0.0316,53402 53403 53405 53404,2026-05
mount-pleasant,367450,200,30,65,-0.0201,53406,2026-05
caledonia,849900,258,21,5,0.6347,53108,2026-05
burlington,422500,248,24,65,-0.1122,53105,2026-05
sturtevant,442450,235,29,11,0.1064,53177,2026-05
kenosha,379900,197,23,135,0.1018,53144 53142 53140 53143,2026-05
pleasant-prairie,564900,237,24,50,0.1300,53158,2026-05
twin-lakes,449000,259,35,35,0.1033,53181,2026-05
lake-geneva,589450,284,57,167,-0.0415,53147,2026-05
elkhorn,434450,248,37,49,-0.0124,53121,2026-05
delavan,427500,256,43,75,0.0710,53115,2026-05
whitewater,397450,247,37,25,0.0005,53190,2026-05
east-troy,531900,278,33,28,-0.0534,53120,2026-05
watertown,394900,221,29,70,0.0373,53094 53098,2026-05
fort-atkinson,411950,195,49,35,0.0390,53538,2026-05
jefferson,414950,226,55,20,0.1859,53549,2026-05
lake-mills,525000,224,38,19,0.0316,53551,2026-05
