# RRS market data, imported from Realtor.com Inventory Core Metrics (by ZIP).
# Figures are median LISTING (asking) prices and active-listing metrics.
# Each city aggregates every ZIP assigned to it (see scripts/import-rdc.mjs).
# Medians across ZIPs are weighted by active listing count. zips is space separated.
# priceMoM is month over month: a large swing means the MIX of listed homes
# changed, not that values moved that fast. The pages say so when it is big.
# Columns: slug,medianPrice,pricePerSqft,daysOnMarket,activeListings,priceYoY,priceMoM,zips,updated
# To refresh: download a new RDC file and run: node scripts/import-rdc.mjs <path>
slug,medianPrice,pricePerSqft,daysOnMarket,activeListings,priceYoY,priceMoM,zips,updated
milwaukee,259400,194,36,1049,0.0317,0.0361,53202 53218 53207 53216 53222 53212 53206 53210 53219 53223 53221 53208 53226 53227 53224 53225 53215 53228 53204 53205 53203 53233,2026-06
wauwatosa,409925,253,25,33,-0.0662,0.0251,53213,2026-06
west-allis,252475,214,24,40,-0.0490,-0.0646,53214,2026-06
greenfield,318675,214,28,41,0.1341,0.0039,53220,2026-06
oak-creek,439950,250,34,60,-0.0221,0.0354,53154,2026-06
franklin,494850,222,32,77,0.0789,-0.0248,53132,2026-06
shorewood,562000,272,29,49,-0.0935,-0.0035,53211,2026-06
whitefish-bay,599900,265,32,77,0.0397,-0.1204,53217,2026-06
glendale,168225,141,36,103,-0.0087,-0.0072,53209,2026-06
hales-corners,449900,233,17,9,0.2256,-0.2107,53130,2026-06
cudahy,287975,215,26,25,0.0668,0.0108,53110,2026-06
south-milwaukee,301150,221,23,29,0.0299,-0.0043,53172,2026-06
waukesha,516150,250,31,196,0.0632,0.0276,53188 53189 53186,2026-06
brookfield,582200,240,33,118,-0.0507,-0.0397,53045 53005,2026-06
new-berlin,465000,222,27,63,0.0936,-0.0156,53151 53146,2026-06
menomonee-falls,532800,244,31,127,-0.0812,-0.0398,53051,2026-06
pewaukee,677492,257,35,90,0.1292,-0.0375,53072,2026-06
muskego,651250,255,29,44,0.0641,0.2152,53150,2026-06
delafield,1555000,488,16,41,0.6547,0.6368,53018,2026-06
hartland,661150,260,30,55,-0.1602,-0.0205,53029,2026-06
elm-grove,815000,263,32,28,0.1616,0.0423,53122,2026-06
mukwonago,514900,254,37,70,-0.0096,0.0098,53149,2026-06
mequon,651200,248,28,77,0.0993,0.0026,53092 53097,2026-06
cedarburg,603675,271,37,34,0.0025,-0.0711,53012,2026-06
grafton,642450,262,40,63,0.0203,-0.0266,53024,2026-06
port-washington,518700,256,33,47,0.3744,-0.0819,53074,2026-06
saukville,449725,250,32,10,-0.0060,-0.0202,53080,2026-06
west-bend,430000,226,32,120,0.0774,-0.0024,53095 53090,2026-06
germantown,453150,227,29,46,-0.1512,0.0072,53022,2026-06
hartford,491225,246,45,63,0.2284,0.0290,53027,2026-06
jackson,394675,251,59,46,-0.0753,-0.0600,53037,2026-06
slinger,568950,241,50,42,0.0351,-0.0088,53086,2026-06
racine,249950,183,27,182,0.0925,0.0360,53402 53403 53405 53404,2026-06
mount-pleasant,376000,196,24,79,0.0410,0.0233,53406,2026-06
caledonia,550000,258,18,8,0.4195,-0.3529,53108,2026-06
burlington,437250,237,34,75,-0.0891,0.0349,53105,2026-06
sturtevant,436175,281,33,9,0.1595,-0.0142,53177,2026-06
kenosha,377400,215,24,161,0.1056,-0.0209,53142 53144 53140 53143,2026-06
pleasant-prairie,559900,245,33,51,0.0181,-0.0089,53158,2026-06
twin-lakes,427425,255,40,33,0.0712,-0.0481,53181,2026-06
lake-geneva,590500,289,60,162,0.0495,0.0018,53147,2026-06
elkhorn,435000,251,37,57,-0.0312,0.0013,53121,2026-06
delavan,437500,261,40,82,0.0951,0.0234,53115,2026-06
whitewater,393700,229,35,27,-0.0652,-0.0094,53190,2026-06
east-troy,527650,293,40,28,-0.0758,-0.0080,53120,2026-06
watertown,385000,242,41,86,-0.0245,-0.0243,53094 53098,2026-06
fort-atkinson,413725,207,38,40,0.0902,0.0043,53538,2026-06
jefferson,398000,238,18,32,0.0904,-0.0408,53549,2026-06
lake-mills,496175,241,35,23,-0.0387,-0.0549,53551,2026-06
