# RRS market data, imported from Realtor.com Inventory Core Metrics (by ZIP).
# Figures are median LISTING (asking) prices and active-listing metrics, by ZIP.
# Columns: slug,medianPrice,pricePerSqft,daysOnMarket,activeListings,updated(YYYY-MM)
# To refresh: download a new RDC_Inventory_Core_Metrics_Zip.csv and re-run the importer.
slug,medianPrice,pricePerSqft,daysOnMarket,activeListings,updated
milwaukee,338950,273,52,135,2026-05
wauwatosa,399900,249,26,38,2026-05
west-allis,269900,217,24,32,2026-05
greenfield,317450,219,24,33,2026-05
oak-creek,424900,243,28,57,2026-05
franklin,507450,217,24,68,2026-05
shorewood,564000,249,29,35,2026-05
whitefish-bay,682000,273,26,78,2026-05
glendale,169450,141,34,115,2026-05
hales-corners,570000,231,24,4,2026-05
cudahy,284900,230,27,24,2026-05
south-milwaukee,302450,221,22,18,2026-05
waukesha,499950,242,30,87,2026-05
brookfield,584900,237,29,79,2026-05
new-berlin,475000,225,23,48,2026-05
menomonee-falls,554900,244,36,119,2026-05
pewaukee,703900,267,45,83,2026-05
muskego,535900,254,25,42,2026-05
delafield,949999,310,31,20,2026-05
hartland,675000,259,31,47,2026-05
elm-grove,781950,262,23,22,2026-05
mukwonago,509900,262,35,68,2026-05
mequon,687250,241,29,39,2026-05
cedarburg,649900,267,37,29,2026-05
grafton,659990,270,37,56,2026-05
port-washington,565000,278,44,36,2026-05
saukville,459000,209,28,13,2026-05
west-bend,409900,207,35,61,2026-05
germantown,449900,228,29,45,2026-05
hartford,477400,236,38,62,2026-05
jackson,419857,251,39,58,2026-05
slinger,574000,242,33,46,2026-05
racine,250000,180,31,47,2026-05
mount-pleasant,367450,200,30,65,2026-05
caledonia,849900,258,21,5,2026-05
burlington,422500,248,24,65,2026-05
sturtevant,442450,235,29,11,2026-05
kenosha,379900,196,24,38,2026-05
pleasant-prairie,564900,237,24,50,2026-05
twin-lakes,449000,259,35,35,2026-05
lake-geneva,589450,284,57,167,2026-05
elkhorn,434450,248,37,49,2026-05
delavan,427500,256,43,75,2026-05
whitewater,397450,247,37,25,2026-05
east-troy,531900,278,33,28,2026-05
watertown,394900,221,29,55,2026-05
fort-atkinson,411950,195,49,35,2026-05
jefferson,414950,226,55,20,2026-05
lake-mills,525000,224,38,19,2026-05
