# Per-city monthly history, built by scripts/import-rdc-history.mjs from
# Realtor.com's ZIP history file. One row per city per month.
# Aggregated identically to the current month (scripts/rdc-shared.mjs).
# zipCount is how many ZIPs reported that month; a change in it can move the
# median for reasons that have nothing to do with the market.
# Columns: slug,month,medianPrice,pricePerSqft,daysOnMarket,activeListings,zipCount
slug,month,medianPrice,pricePerSqft,daysOnMarket,activeListings,zipCount
milwaukee,201607,130000,103,47,2068,22
milwaukee,201608,129900,102,46,2077,22
milwaukee,201609,129900,102,56,2071,22
milwaukee,201610,129900,102,57,1971,22
milwaukee,201611,125000,98,60,1875,22
milwaukee,201612,124900,99,68,1606,22
milwaukee,201701,112200,87,74,1496,22
milwaukee,201702,118225,88,59,1583,22
milwaukee,201703,131200,104,48,1704,22
milwaukee,201704,132000,106,41,1848,22
milwaukee,201705,134950,106,38,1882,22
milwaukee,201706,137500,105,40,1951,22
milwaukee,201707,135000,107,39,2006,22
milwaukee,201708,135000,105,44,2011,22
milwaukee,201709,135450,106,46,1988,22
milwaukee,201710,138650,106,52,1936,22
milwaukee,201711,132200,106,57,1763,22
milwaukee,201712,129250,96,66,1465,22
milwaukee,201801,125950,95,71,1306,22
milwaukee,201802,124175,96,56,1337,22
milwaukee,201803,139700,106,40,1430,22
milwaukee,201804,139900,109,37,1501,22
milwaukee,201805,144450,109,36,1532,22
milwaukee,201806,148900,110,36,1530,22
milwaukee,201807,149900,116,38,1556,22
milwaukee,201808,148900,116,33,1567,22
milwaukee,201809,148700,115,41,1538,22
milwaukee,201810,148750,115,41,1513,22
milwaukee,201811,145000,113,48,1398,22
milwaukee,201812,139950,111,57,1230,22
milwaukee,201901,139675,104,64,1081,22
milwaukee,201902,139900,104,50,1089,22
milwaukee,201903,146329,106,40,1188,22
milwaukee,201904,153791,109,34,1302,22
milwaukee,201905,142450,112,33,1326,22
milwaukee,201906,154900,117,32,1367,22
milwaukee,201907,158800,118,36,1356,22
milwaukee,201908,153564,113,37,1397,22
milwaukee,201909,151559,114,39,1469,22
milwaukee,201910,152448,115,40,1505,22
milwaukee,201911,149400,112,46,1321,22
milwaukee,201912,144900,108,54,1136,22
milwaukee,202001,147450,101,60,1015,22
milwaukee,202002,149900,111,41,1011,22
milwaukee,202003,158950,116,33,1088,22
milwaukee,202004,149900,119,36,1051,22
milwaukee,202005,159900,120,41,1059,22
milwaukee,202006,160375,125,31,1162,22
milwaukee,202007,169000,134,32,1159,22
milwaukee,202008,169900,132,27,1287,22
milwaukee,202009,174900,134,31,1399,22
milwaukee,202010,179950,138,31,1389,22
milwaukee,202011,178675,130,38,1210,22
milwaukee,202012,172725,135,44,985,22
milwaukee,202101,162450,131,39,834,22
milwaukee,202102,171200,131,34,850,22
milwaukee,202103,172425,134,35,890,22
milwaukee,202104,165950,132,28,982,22
milwaukee,202105,179900,143,25,1043,22
milwaukee,202106,189900,121,24,1225,22
milwaukee,202107,189900,124,29,1359,22
milwaukee,202108,180500,131,32,1454,22
milwaukee,202109,184900,137,35,1474,22
milwaukee,202110,185000,141,37,1424,22
milwaukee,202111,179975,133,41,1356,22
milwaukee,202112,173650,120,45,1130,22
milwaukee,202201,175000,120,47,793,22
milwaukee,202202,172150,126,32,877,22
milwaukee,202203,176250,137,30,854,22
milwaukee,202204,186950,139,30,873,22
milwaukee,202205,199675,141,24,984,22
milwaukee,202206,206414,141,28,1047,22
milwaukee,202207,218950,147,26,1101,22
milwaukee,202208,205950,139,30,1090,22
milwaukee,202209,203450,140,35,1032,22
milwaukee,202210,194900,141,36,1001,22
milwaukee,202211,192400,136,36,943,22
milwaukee,202212,176950,125,44,737,22
milwaukee,202301,161225,122,50,612,22
milwaukee,202302,179900,122,40,608,22
milwaukee,202303,166625,131,28,602,22
milwaukee,202304,175000,126,29,648,22
milwaukee,202305,199000,138,26,669,22
milwaukee,202306,191175,145,27,697,22
milwaukee,202307,206950,155,26,743,22
milwaukee,202308,209975,157,24,874,21
milwaukee,202309,205000,143,27,984,22
milwaukee,202310,207500,139,29,1007,22
milwaukee,202311,212400,140,33,967,22
milwaukee,202312,207950,139,40,801,22
milwaukee,202401,199800,146,40,714,22
milwaukee,202402,194900,149,38,668,22
milwaukee,202403,195000,151,30,686,22
milwaukee,202404,222375,150,32,752,22
milwaukee,202405,239925,158,31,803,22
milwaukee,202406,238250,167,34,911,22
milwaukee,202407,251200,172,29,796,22
milwaukee,202408,249850,165,29,880,22
milwaukee,202409,235000,157,30,906,22
milwaukee,202410,245000,169,31,977,22
milwaukee,202411,242450,171,33,996,22
milwaukee,202412,255450,170,40,855,22
milwaukee,202501,256950,163,43,725,22
milwaukee,202502,248675,165,35,732,22
milwaukee,202503,239900,162,34,793,22
milwaukee,202504,249900,176,31,804,22
milwaukee,202505,259000,184,28,838,22
milwaukee,202506,259675,183,29,858,22
milwaukee,202507,271950,182,30,890,22
milwaukee,202508,259900,188,29,950,22
milwaukee,202509,268724,180,29,1000,22
milwaukee,202510,259925,189,29,1041,22
milwaukee,202511,249900,190,36,1001,22
milwaukee,202512,248400,186,45,844,22
milwaukee,202601,243750,178,54,742,21
milwaukee,202602,241850,181,33,787,21
milwaukee,202603,243725,179,34,893,22
milwaukee,202604,259300,168,33,968,22
milwaukee,202605,249950,188,35,1068,22
milwaukee,202606,259400,194,36,1049,22
wauwatosa,201607,239900,142,38,76,1
wauwatosa,201608,232500,142,32,86,1
wauwatosa,201609,224975,138,44,84,1
wauwatosa,201610,207950,134,51,76,1
wauwatosa,201611,204900,135,46,73,1
wauwatosa,201612,205500,138,66,50,1
wauwatosa,201701,218475,142,80,43,1
wauwatosa,201702,224900,140,31,52,1
wauwatosa,201703,234950,139,26,69,1
wauwatosa,201704,229900,137,29,80,1
wauwatosa,201705,242400,143,29,88,1
wauwatosa,201706,249200,142,30,91,1
wauwatosa,201707,241950,145,32,95,1
wauwatosa,201708,218975,142,30,88,1
wauwatosa,201709,225000,146,36,86,1
wauwatosa,201710,243900,142,41,82,1
wauwatosa,201711,244925,141,51,58,1
wauwatosa,201712,219900,136,57,38,1
wauwatosa,201801,209475,137,48,35,1
wauwatosa,201802,229900,152,24,58,1
wauwatosa,201803,254500,158,27,67,1
wauwatosa,201804,256850,156,27,59,1
wauwatosa,201805,256725,157,23,72,1
wauwatosa,201806,249900,154,23,89,1
wauwatosa,201807,244850,156,35,84,1
wauwatosa,201808,224900,153,38,80,1
wauwatosa,201809,250000,154,34,82,1
wauwatosa,201810,249500,155,33,85,1
wauwatosa,201811,231450,157,47,66,1
wauwatosa,201812,239000,152,59,46,1
wauwatosa,201901,234900,148,54,35,1
wauwatosa,201902,266900,155,24,50,1
wauwatosa,201903,276329,156,25,66,1
wauwatosa,201904,278829,168,22,86,1
wauwatosa,201905,272400,167,30,78,1
wauwatosa,201906,269900,166,28,77,1
wauwatosa,201907,274975,160,30,74,1
wauwatosa,201908,269473,161,31,72,1
wauwatosa,201909,261332,161,31,73,1
wauwatosa,201910,254950,161,32,74,1
wauwatosa,201911,250000,162,45,65,1
wauwatosa,201912,239900,163,59,40,1
wauwatosa,202001,264475,164,65,34,1
wauwatosa,202002,288700,164,32,51,1
wauwatosa,202003,294500,167,36,46,1
wauwatosa,202004,304450,176,28,40,1
wauwatosa,202005,294900,183,29,43,1
wauwatosa,202006,288675,177,22,60,1
wauwatosa,202007,299900,178,27,69,1
wauwatosa,202008,289450,172,25,69,1
wauwatosa,202009,283725,174,24,78,1
wauwatosa,202010,279900,172,29,82,1
wauwatosa,202011,257500,164,35,57,1
wauwatosa,202012,229950,167,39,38,1
wauwatosa,202101,239900,180,39,32,1
wauwatosa,202102,306400,182,23,38,1
wauwatosa,202103,302450,189,23,37,1
wauwatosa,202104,287400,181,19,47,1
wauwatosa,202105,299900,187,22,63,1
